Year,12 to 25,26 to 55,56+
2006-2007,23.5Ê,63.2Ê,13.3Ê
2008-2009,43.8Ê,47.0Ê,9.2Ê
2010-2011,41.5Ê,53.9Ê,4.6Ê
2012-2013,38.9Ê,57.0Ê,4.1Ê
