Year,White,Black,Other,Hispanic
2002-2003,55.1,21.2,6.1,17.6
2004-2005,71,9,0.6,19.4
2006-2007,45.3,18.5,2.5,33.7
2008-2009,77.9,13.4,1.9,6.8
2010-2011,56.1,27.1,2.9,13.9
2012-2013,78.2,8.9,3,9.9
